               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.073051,            0.024125,             0.05272,             0.44423,             0.34293,              0.1997,            0.096706,            0.032749,           0.0076828,            0.034476,            0.070187,           0.0033125,           0.0033125
                   1,            0.049856,            0.016932,            0.043042,             0.45403,             0.50042,              0.2439,              0.1228,            0.030441,           0.0058586,            0.031189,            0.040056,           0.0065142,           0.0065142
                   2,            0.045658,            0.014216,            0.039596,               0.324,             0.50694,             0.25172,             0.12992,             0.03214,           0.0056451,            0.030559,           0.0097923,            0.009584,            0.009584
                   3,            0.041889,            0.013223,            0.035746,             0.47168,             0.47376,             0.43065,             0.26422,            0.024534,           0.0051669,            0.021988,            0.009406,            0.009406,            0.009406
                   4,            0.037759,            0.012126,            0.029373,             0.47986,              0.6508,              0.5802,             0.36506,            0.026575,           0.0055602,            0.021323,            0.009406,            0.009406,            0.009406
                   5,            0.035968,            0.012059,            0.026357,             0.65022,             0.62844,             0.65502,             0.44867,            0.023428,           0.0050531,            0.017065,            0.009208,            0.009208,            0.009208
                   6,            0.035714,            0.011595,            0.022226,             0.74472,             0.68893,             0.75027,             0.51104,            0.022475,           0.0050533,            0.013915,             0.00901,             0.00901,             0.00901
                   7,            0.034447,             0.01123,            0.021293,             0.79325,             0.63185,             0.72993,             0.52007,            0.020671,           0.0044684,            0.014012,            0.008812,            0.008812,            0.008812
                   8,            0.032871,            0.011224,            0.018467,              0.8646,             0.77275,             0.85099,             0.58952,            0.020007,           0.0040382,           0.0071217,            0.008614,            0.008614,            0.008614
                   9,            0.031565,            0.010487,            0.016531,             0.81618,             0.76119,             0.83295,             0.58711,            0.020933,           0.0043558,           0.0091955,            0.008416,            0.008416,            0.008416
                  10,            0.031468,            0.010368,            0.014339,             0.79959,             0.81584,             0.85916,             0.63275,            0.019064,           0.0042057,           0.0082927,            0.008218,            0.008218,            0.008218
                  11,             0.03036,            0.010328,            0.015225,             0.83888,             0.83558,             0.88311,             0.63434,            0.019101,             0.00408,           0.0054533,             0.00802,             0.00802,             0.00802
                  12,            0.029677,            0.010361,            0.013853,             0.81698,             0.86353,             0.89927,             0.67907,            0.018168,            0.003891,           0.0044664,            0.007822,            0.007822,            0.007822
                  13,            0.028509,           0.0097991,            0.013551,             0.95078,             0.84133,             0.92774,             0.70682,            0.017525,           0.0035809,           0.0033537,            0.007624,            0.007624,            0.007624
                  14,            0.028889,           0.0099746,            0.012312,             0.86066,             0.90967,             0.93812,             0.71577,            0.017599,           0.0036489,           0.0042593,            0.007426,            0.007426,            0.007426
                  15,            0.027707,           0.0096897,             0.01206,             0.90654,             0.85371,              0.9264,             0.70993,            0.016151,           0.0034619,           0.0034394,            0.007228,            0.007228,            0.007228
                  16,            0.027182,           0.0097284,            0.010661,             0.93754,             0.93828,              0.9698,             0.77273,             0.01565,           0.0034162,           0.0020358,             0.00703,             0.00703,             0.00703
                  17,            0.027469,           0.0093246,            0.010955,             0.90621,             0.92365,             0.95921,             0.72685,            0.016065,           0.0033096,           0.0023473,            0.006832,            0.006832,            0.006832
                  18,            0.025992,           0.0089325,            0.010016,             0.92308,              0.8768,             0.94567,             0.73804,            0.015802,           0.0033092,           0.0025674,            0.006634,            0.006634,            0.006634
                  19,            0.025373,           0.0088474,           0.0094151,             0.90638,             0.90661,              0.9475,             0.75987,            0.015556,           0.0033142,           0.0032427,            0.006436,            0.006436,            0.006436
                  20,            0.024973,           0.0087712,           0.0088422,             0.93865,             0.92683,             0.96234,             0.77043,            0.014132,           0.0031387,           0.0016224,            0.006238,            0.006238,            0.006238
                  21,            0.024134,           0.0086086,            0.009114,             0.95239,             0.92829,             0.96796,             0.79318,            0.013685,           0.0030259,           0.0022343,             0.00604,             0.00604,             0.00604
                  22,            0.024122,           0.0084771,           0.0075131,             0.93742,             0.93168,             0.97039,              0.8052,            0.013219,           0.0028625,           0.0014068,            0.005842,            0.005842,            0.005842
                  23,            0.023834,           0.0083711,           0.0082732,             0.97573,             0.91647,             0.97426,             0.79998,            0.014104,           0.0029555,           0.0026392,            0.005644,            0.005644,            0.005644
                  24,            0.022884,           0.0077579,           0.0081051,             0.94504,             0.93207,             0.96184,             0.79675,            0.013694,           0.0028338,           0.0012483,            0.005446,            0.005446,            0.005446
                  25,            0.022813,           0.0078455,           0.0073776,             0.96381,             0.96369,             0.97755,             0.81551,            0.012593,           0.0028728,           0.0014137,            0.005248,            0.005248,            0.005248
                  26,            0.022301,           0.0079246,           0.0066873,             0.95343,             0.94857,             0.97622,             0.82037,               0.013,           0.0028867,           0.0016218,             0.00505,             0.00505,             0.00505
                  27,            0.021443,           0.0078333,           0.0067364,             0.96192,             0.94804,             0.98381,             0.81889,            0.012521,           0.0028229,          0.00099571,            0.004852,            0.004852,            0.004852
                  28,            0.021424,           0.0075764,           0.0062072,             0.96622,             0.96426,             0.98197,             0.82631,            0.011762,           0.0027362,           0.0011005,            0.004654,            0.004654,            0.004654
                  29,            0.020946,           0.0073202,           0.0065157,             0.96573,             0.97169,             0.98591,             0.82571,            0.011797,           0.0026682,          0.00095862,            0.004456,            0.004456,            0.004456
                  30,            0.020358,           0.0074074,           0.0058653,             0.97772,             0.96126,              0.9789,             0.83404,            0.011566,           0.0026536,           0.0017252,            0.004258,            0.004258,            0.004258
                  31,            0.020341,            0.007481,            0.005912,             0.98206,             0.97351,             0.98758,              0.8594,            0.010899,           0.0024601,          0.00081601,             0.00406,             0.00406,             0.00406
                  32,            0.019445,           0.0073353,           0.0052715,             0.98577,             0.96912,             0.98708,             0.85186,              0.0111,           0.0025487,          0.00069274,            0.003862,            0.003862,            0.003862
                  33,            0.019555,           0.0068854,           0.0051871,              0.9785,             0.97138,             0.98305,             0.85134,            0.011142,           0.0024976,          0.00071891,            0.003664,            0.003664,            0.003664
                  34,            0.018908,           0.0069812,           0.0057668,              0.9738,             0.97626,             0.98795,             0.87273,            0.011017,           0.0025442,           0.0010275,            0.003466,            0.003466,            0.003466
                  35,            0.018446,           0.0068283,           0.0053402,             0.98577,             0.97397,             0.98321,             0.86779,            0.010486,           0.0023759,           0.0010614,            0.003268,            0.003268,            0.003268
                  36,            0.018297,           0.0067829,           0.0049504,             0.98035,              0.9721,             0.98746,              0.8687,             0.01047,           0.0024705,          0.00073833,             0.00307,             0.00307,             0.00307
                  37,            0.017691,            0.006616,           0.0044275,             0.98431,             0.98296,             0.99009,             0.88443,            0.010126,           0.0023145,          0.00040141,            0.002872,            0.002872,            0.002872
                  38,            0.017711,           0.0066598,           0.0045773,             0.98371,             0.98139,             0.99134,             0.86902,           0.0098559,           0.0022914,          0.00040981,            0.002674,            0.002674,            0.002674
                  39,            0.016556,           0.0061703,           0.0044699,             0.98899,             0.97661,              0.9901,             0.88917,           0.0097148,           0.0022176,          0.00037687,            0.002476,            0.002476,            0.002476
                  40,            0.016604,           0.0064402,           0.0047259,             0.98342,             0.98689,             0.99182,             0.89156,           0.0093573,           0.0022296,          0.00044721,            0.002278,            0.002278,            0.002278
                  41,            0.016331,           0.0062491,           0.0039465,             0.98435,             0.96137,             0.98502,             0.88539,            0.009303,           0.0022043,          0.00081173,             0.00208,             0.00208,             0.00208
                  42,            0.015718,           0.0062291,           0.0036037,             0.98792,             0.99438,             0.99198,             0.89669,           0.0089266,           0.0021351,          0.00031337,            0.001882,            0.001882,            0.001882
                  43,             0.01548,           0.0060789,           0.0041149,             0.98786,             0.98321,             0.99183,             0.89957,           0.0088292,           0.0020699,          0.00028837,            0.001684,            0.001684,            0.001684
                  44,             0.01486,           0.0059425,           0.0036227,             0.98858,             0.99304,             0.99224,              0.9094,           0.0086248,           0.0020419,          0.00024063,            0.001486,            0.001486,            0.001486
                  45,            0.014831,           0.0055835,           0.0032939,             0.99038,             0.99167,             0.99115,             0.90932,           0.0086457,           0.0019946,          0.00028508,            0.001288,            0.001288,            0.001288
                  46,             0.01445,           0.0055536,           0.0031051,             0.98859,             0.99078,             0.99162,              0.9143,           0.0083783,           0.0020385,          0.00025542,             0.00109,             0.00109,             0.00109
                  47,            0.013857,           0.0059227,           0.0033592,             0.98948,             0.99139,             0.99205,             0.91421,           0.0081683,           0.0019691,          0.00023183,            0.000892,            0.000892,            0.000892
                  48,            0.013515,           0.0056922,           0.0031647,             0.98948,             0.99177,             0.99205,             0.91528,           0.0081542,            0.001956,          0.00023281,            0.000694,            0.000694,            0.000694
                  49,            0.013243,           0.0055741,           0.0028603,              0.9899,             0.99071,             0.99236,             0.91873,           0.0079653,           0.0019161,          0.00015385,            0.000496,            0.000496,            0.000496
